source;fr;fr_dbta;en;en_dbta;pt;pt_dbta;es;es_dbta
survey.indication_evaluation_satisfaction_company_with_tag;Evaluez ses / leurs compétences sur une échelle de 1 à 5 %tag_br% 1 = très insatisfaisant, 2 = insatisfaisant, 3 = satisfaisant, 4 = bon et 5 = excellent;Evaluez ses / leurs compétences sur une échelle de 1 à 5 %tag_br% 1 = très insatisfaisant, 2 = insatisfaisant, 3 = satisfaisant, 4 = bon et 5 = excellent;Evaluate their skills on a scale of 1 to 5 %tag_br% 1 = very unsatisfactory, 2 = unsatisfactory, 3 = satisfactory, 4 = good and 5 = excellent;Evaluate their skills on a scale of 1 to 5 %tag_br% 1 = very unsatisfactory, 2 = unsatisfactory, 3 = satisfactory, 4 = good and 5 = excellent;Avaliar as suas competências numa escala de 1 a 5 %tag_br% 1 = muito insatisfatório, 2 = insatisfatório, 3 = satisfatório, 4 = bom e 5 = excelente;Avaliar as suas competências numa escala de 1 a 5 %tag_br% 1 = muito insatisfatório, 2 = insatisfatório, 3 = satisfatório, 4 = bom e 5 = excelente;Evaluar sus competencias en una escala de 1 a 5 %tag_br% 1 = muy insatisfactorio, 2 = insatisfactorio, 3 = satisfactorio, 4 = bueno y 5 = excelente;Evaluar sus competencias en una escala de 1 a 5 %tag_br% 1 = muy insatisfactorio, 2 = insatisfactorio, 3 = satisfactorio, 4 = bueno y 5 = excelente
survey.new_survey;Nouvelle enquête;Nouvelle enquête;New survey;New survey;Nova pesquisa;Nova pesquisa;Nueva encuesta;Nueva encuesta
survey.new_satisfaction_survey;Nouvelle enquête de satisfaction;Nouvelle enquête de satisfaction;New satisfaction survey;New satisfaction survey;Novo inquérito de satisfação;Novo inquérito de satisfação;Nueva encuesta de satisfacción;Nueva encuesta de satisfacción
survey.add_a_company_satisfaction;Ajouter une satisfaction d'entreprise;Ajouter une satisfaction d'entreprise;Add business satisfaction;Add business satisfaction;Adicionar satisfação empresarial;Adicionar satisfação empresarial;Añadir satisfacción empresarial;Añadir satisfacción empresarial
survey.what_are_the_trades_areas_of_specialization_of_your_workers;Quels sont les métiers / domaines de spécialisation de vos ouvriers;Quels sont les métiers / domaines de spécialisation de vos ouvriers;What are the professions / areas of specialization of your workers;What are the professions / areas of specialization of your workers;Quais são as profissões / áreas de especialização dos seus trabalhadores;Quais são as profissões / áreas de especialização dos seus trabalhadores;¿Cuáles son las profesiones / áreas de especialización de sus trabajadores?;¿Cuáles son las profesiones / áreas de especialización de sus trabajadores?
survey.what_are_the_areas_of_specialization_of_your_technicians;Quels sont les secteurs d'activités de spécialisation de vos techniciens;Quels sont les secteurs d'activités de spécialisation de vos techniciens;What are the sectors of activity of your technicians?;What are the sectors of activity of your technicians?;Quais são os sectores de actividade dos seus técnicos?;Quais são os sectores de actividade dos seus técnicos?;¿Cuáles son los sectores de actividad de sus técnicos?;¿Cuáles son los sectores de actividad de sus técnicos?
survey.what_are_the_professions_fields_of_specialization_of_your_technicians;Quels sont les métiers / domaines de spécialisation de vos techniciens;Quels sont les métiers / domaines de spécialisation de vos techniciens;What are the professions / areas of specialization of your technicians;What are the professions / areas of specialization of your technicians;Quais são as profissões / áreas de especialização dos vossos técnicos;Quais são as profissões / áreas de especialização dos vossos técnicos;¿Cuáles son las profesiones / áreas de especialización de sus técnicos?;¿Cuáles son las profesiones / áreas de especialización de sus técnicos?
survey.insertion_survey_entrepreneurial_graduates;Enquête insertion : Diplômés entrepreneurs;Enquête insertion : Diplômés entrepreneurs;Integration survey: Graduate entrepreneurs;Integration survey: Graduate entrepreneurs;Inquérito de inserção: Empresários graduados;Inquérito de inserção: Empresários graduados;Encuesta de integración: Empresarios graduados;Encuesta de integración: Empresarios graduados
survey.satisfactions_graduates_creators;Satisfactions Diplômés Créateurs;Satisfactions Diplômés Créateurs;Satisfaction of Graduate Business creators;Satisfaction of Graduate Business creators;Satisfação dos Designers Graduados;Satisfação dos Designers Graduados;Satisfacción de los creadores de empresas graduados;Satisfacción de los creadores de empresas graduados
survey.modification_of_an_insertion_survey_graduate_entrepreneur;Modification d'une enquête d'insertion : diplômé entrepreneur;Modification d'une enquête d'insertion : diplômé entrepreneur;Modification of an integration survey: graduate entrepreneur;Modification of an integration survey: graduate entrepreneur;Modificação de um inquérito de integração: empresário graduado;Modificação de um inquérito de integração: empresário graduado;Modificación de una encuesta de integración: empresario graduado;Modificación de una encuesta de integración: empresario graduado
survey.list_of_insertion_surveys_entrepreneurial_graduates;Liste des enquêtes d'insertion : diplômés entrepreneurs;Liste des enquêtes d'insertion : diplômés entrepreneurs;List of integration surveys: graduate entrepreneurs;List of integration surveys: graduate entrepreneurs;Lista de inquéritos de integração: empresários graduados;Lista de inquéritos de integração: empresários graduados;Lista de encuestas de integración: empresarios graduados;Lista de encuestas de integración: empresarios graduados
survey.new_insertion_survey_entrepreneurial_graduate;Nouvelle enquête d'insertion : Diplômé entrepreneur;Nouvelle enquête d'insertion : Diplômé entrepreneur;New integration survey: Graduate entrepreneur;New integration survey: Graduate entrepreneur;Novo inquérito de integração: Empresário graduado;Novo inquérito de integração: Empresário graduado;Nueva encuesta de integración: Empresario graduado;Nueva encuesta de integración: Empresario graduado
survey.add_an_insertion_survey_graduate_entrepreneur;Ajouter une enquête d'insertion : diplômé entrepreneur;Ajouter une enquête d'insertion : diplômé entrepreneur;Add an integration survey: graduate entrepreneur;Add an integration survey: graduate entrepreneur;Adicionar um inquérito de integração: empresário graduado;Adicionar um inquérito de integração: empresário graduado;Añadir una encuesta de integración: empresario graduado;Añadir una encuesta de integración: empresario graduado
survey.your_remuneration_per_month_in_fcfa;Votre rémunération par mois en FCFA;Votre rémunération par mois en FCFA;Your salary per month in Rwandan Francs;Your salary per month in Rwandan Francs;O seu salário mensal em FCFA;O seu salário mensal em FCFA;Su salario mensual en francos ruandeses;Su salario mensual en francos ruandeses
survey.insertion_survey_graduates_in_employment;Enquête insertion : Diplômés en emploi;Enquête insertion : Diplômés en emploi;Insertion survey: Graduates in employment;Insertion survey: Graduates in employment;Inquérito de inserção: Graduados com emprego;Inquérito de inserção: Graduados com emprego;Encuesta de inserción: Graduados con empleo;Encuesta de inserción: Graduados con empleo
survey.editing_of_an_insertion_survey_graduate_in_employment;Modification d'une enquête d'insertion : diplômé en emploi;Modification d'une enquête d'insertion : diplômé en emploi;Modification of an integration survey: graduate in employment;Modification of an integration survey: graduate in employment;Modificação de um inquérito de integração: graduados no emprego;Modificação de um inquérito de integração: graduados no emprego;Modificación de una encuesta de inserción: graduados en el empleo;Modificación de una encuesta de inserción: graduados en el empleo
survey.list_of_insertion_surveys_graduates_in_employment;Liste des enquêtes d'insertion : diplômés en emploi;Liste des enquêtes d'insertion : diplômés en emploi;List of integration surveys: graduates in employment;List of integration surveys: graduates in employment;Lista de inquéritos à integração: graduados com emprego;Lista de inquéritos à integração: graduados com emprego;Listado de encuestas de inserción: graduados ocupados;Listado de encuestas de inserción: graduados ocupados
survey.new_insertion_survey_graduates_in_employment;Nouvelle enquête d'insertion : Diplômé en emploi;Nouvelle enquête d'insertion : Diplômé en emploi;New integration survey: Graduate in employment;New integration survey: Graduate in employment;Novo inquérito de integração: Graduados com emprego;Novo inquérito de integração: Graduados com emprego;Nueva encuesta de inserción: Graduado en el empleo;Nueva encuesta de inserción: Graduado en el empleo
survey.add_an_insertion_survey_graduate_in_employment;Ajouter une enquête d'insertion : diplômé en emploi;Ajouter une enquête d'insertion : diplômé en emploi;Add an integration survey: graduate in employment;Add an integration survey: graduate in employment;Adicionar um inquérito de integração: graduado no emprego;Adicionar um inquérito de integração: graduado no emprego;Añadir una encuesta de inserción: graduado en empleo;Añadir una encuesta de inserción: graduado en empleo
survey.are_you_satisfied_with_your_training;Etes vous satisfait de votre formation;Etes vous satisfait de votre formation;Are you satisfied with your training;Are you satisfied with your training;Está satisfeito com a sua formação;Está satisfeito com a sua formação;¿Está satisfecho con su formación?;¿Está satisfecho con su formación?
survey.if_you_are_working_in_a_job_that_is_not_related_to_your_degree_it_is_because_several_possible_choices;Si vous exercez un métier sans lien avec votre diplôme, c’est parce que :%tag_br%plusieurs choix possibles (+ touche ctrl);Si vous exercez un métier sans lien avec votre diplôme, c’est parce que :%tag_br%plusieurs choix possibles (+ touche ctrl);If you have a job unrelated to your diploma, it is because:%tag_br%several possible choices (+ ctrl key);If you have a job unrelated to your diploma, it is because:%tag_br%several possible choices (+ ctrl key);Se tem um emprego não relacionado com o seu diploma, é porque:%tag_br%várias escolhas possíveis (+ tecla ctrl);Se tem um emprego não relacionado com o seu diploma, é porque:%tag_br%várias escolhas possíveis (+ tecla ctrl);Si tiene un empleo no relacionado con su graduación, es porque:%tag_br%varias opciones posibles (+ tecla ctrl);Si tiene un empleo no relacionado con su graduación, es porque:%tag_br%varias opciones posibles (+ tecla ctrl)
survey.are_you_enrolled_in_a_course;Êtes-vous inscrit à une formation;Êtes-vous inscrit à une formation;Are you registered for a training?;Are you registered for a training?;Inscreveu-se numa formação;Inscreveu-se numa formação;¿Está inscrito en una formación?;¿Está inscrito en una formación?
survey.searching_for_a_job;En recherche d'emploi ?;En recherche d'emploi ?;Searching for a job ?;Searching for a job ?;A procura de emprego?;A procura de emprego?;¿Está buscando trabajo?;¿Está buscando trabajo?
survey.is_this_training_a_continuation_of_your_last_degree;Est-ce que cette formation est une poursuite%tag_br%d’études en lien avec votre dernier diplôme;Est-ce que cette formation est une poursuite%tag_br%d’études en lien avec votre dernier diplôme;Is this training a continuation%tag_br%of studies related to your last degree;Is this training a continuation%tag_br%of studies related to your last degree;Esta formação é uma continuação%tag_br%de estudos relacionados com o seu último diploma;Esta formação é uma continuação%tag_br%de estudos relacionados com o seu último diploma;¿Es esta formación una continuación%tag_br%de estudios relacionados con su última graduación?;¿Es esta formación una continuación%tag_br%de estudios relacionados con su última graduación?
